"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","20","69","74","6","87.303474","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","20","28","31","2","28.929502","0","0"
"Globals","20","2119","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","20","33","35","1","35.029510","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","20","787","809","1","477.735107","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","20","145","145","1","170.065506","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","20","17","17","1","9.662127","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","20","8","8","1","5.713443","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","20","46","48","1","50.649204","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","20","8","8","1","9.029365","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","20","12","12","1","16.895731","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","20","2","2","1","2.328355","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","20","8","8","1","9.085980","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","20","506","550","1","272.382080","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","20","24","24","1","27.194551","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","20","8","8","1","10.368559","0","0"
"/WebBrowserWidget/WebTexture_M.WebTexture_M","20","9","9","1","7.198836","0","0"
"/WebBrowserWidget/WebTexture_TM.WebTexture_TM","20","15","15","1","13.195185","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","20","4","4","1","4.655396","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","20","2","2","1","2.565107","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","20","10","10","1","11.415296","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","20","10","10","1","10.523432","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","20","24","24","1","25.718279","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","20","7","8","1","7.441844","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","20","17","18","1","18.374472","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","20","99","99","1","90.981331","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","20","17","17","1","9.299014","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","20","7","8","1","7.208014","0","0"
